Cierre,Date,Cartera,Close,Saldo
200810,2008-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,50359748.88,966796360.6
200811,2008-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION    ,51955007.31,966249676
200812,2008-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,52804973.35,963221466.7
200901,2009-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,54866319.03,960198957.1
200902,2009-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,49217539.75,958370864.7
200903,2009-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,56398159.51,994515163.3
200904,2009-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,57416375.12,994176698.8
200905,2009-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,58854310.26,991489489.8
200906,2009-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,59527467.59,988630621.7
200907,2009-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,60343850.66,985451333.1
200908,2009-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,61405595.99,983411116.2
200909,2009-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,62448351.48,979962585.4
200910,2009-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,63460661.42,976194993.8
200911,2009-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,64733921.45,974487838.4
200912,2009-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,64990034.56,969922710.7
201001,2010-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,68604654.44,966453271.9
201002,2010-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,69763540.6,973253017.5
201003,2010-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,70975822.35,1015299137
201004,2010-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,72552356.87,1012142356
201005,2010-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,74006133.72,1008637474
201006,2010-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,75410184.75,1004946478
201007,2010-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,76799851.52,1001555527
201008,2010-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,78249781.74,998008030.4
201009,2010-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,79840303.63,995405117.7
201010,2010-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,81374990.9,991810616.9
201011,2010-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,83028154.13,987964115.6
201012,2010-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,83443889.75,981751201.8
201101,2011-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,87588657.26,977474983.4
201102,2011-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,88513954.82,988303381
201103,2011-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION    ,89276827.06,1022175196
201104,2011-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,90927103.85,1019031979
201105,2011-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,91643504.34,1013687154
201106,2011-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,92688050.66,1009738471
201107,2011-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,94140802.82,1005153816
201108,2011-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,95720809.83,1001312242
201109,2011-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,97619541.62,998040788.9
201110,2011-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,99119199.14,994727506.1
201111,2011-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,100387268.8,989986423
201112,2011-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,101326569,983805913.2
201201,2012-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,106344546.1,979090863.5
201202,2012-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,107736145.3,975585836.7
201203,2012-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,109068829.7,1012003811
201204,2012-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,111104343.2,1008722667
201205,2012-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,112551572.3,1004486109
201206,2012-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,113657458.9,1000011996
201207,2012-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,115110573.4,1010046542
201208,2012-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,116668344.3,1006396286
201209,2012-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,118284166.8,1003000193
201210,2012-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,119572578.2,998647777.5
201211,2012-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,121209212.3,994979759.2
201212,2012-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,122292220.9,990664756.7
201301,2013-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,127835409.9,985870619.2
