Cierre,Date,Cartera,Close,Saldo
201612,2016-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,68276736.56,244837829.3
201701,2017-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,72793142.07,243469318.3
201702,2017-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73326792.15,242249953
201703,2017-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,72728149.81,248440093.7
201704,2017-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73286405.95,247133422
201705,2017-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73221078.47,245594868.6
201706,2017-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73669694.79,244132416.5
201707,2017-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74084136.16,243002113.3
201708,2017-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74257301.35,241371883.4
201709,2017-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74858838.88,240209842.3
201710,2017-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,75374285.09,239298851.1
201711,2017-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,75914122.85,238532580.1
201712,2017-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,76076855.64,236644623.7
201801,2018-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,84304629.52,235576652
201802,2018-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,84905653.47,234884591.4
201803,2018-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,85427812.21,249551824.5
201804,2018-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,86193678.24,248193549.4
201805,2018-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,86740775.78,246603868.4
201806,2018-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,87437884.52,245599750.2
201807,2018-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,87915257.29,243819102.7
201808,2018-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,88455516.7,241726334.2
201809,2018-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,88688928.32,241978800.2
201810,2018-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,89349449.88,239196511.8
201811,2018-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,90134895.45,240120664.7
201812,2018-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,90766581.67,238867813.8
201901,2019-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,105986292.5,237214579.3
201902,2019-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,106282519.7,235601899
201903,2019-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,107086850.7,245876740.1
201904,2019-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,107974540.2,245075554
201905,2019-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,108569589.8,244064665.1
201906,2019-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,109470044.2,243334446.4
201907,2019-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,110415520.2,242744446.8
201908,2019-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,111069482,241729111.1
201909,2019-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,111983513.4,240939117.4
201910,2019-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,112882553.7,240125392.1
201911,2019-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,113619651.5,238898107
201912,2019-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,114283646.2,237950814.8
202001,2020-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,137494173.7,235018434.5
202002,2020-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,136839712.6,230001603.2
202003,2020-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,136924524.9,230732252.6
202004,2020-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,137768900.3,230089320.9
202005,2020-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,139074937.5,228892478.5
202006,2020-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,140503733.6,228484301.6
202007,2020-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,141158914.5,227558017.8
202008,2020-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,141838720.9,226069448.1
202009,2020-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,142391272.8,224051580.9
202010,2020-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,143196615.3,222923470.1
202011,2020-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,144229071.3,222365272.4
