Cierre,Date,Cartera,Close,Saldo
201008,2010-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,111215390.1,3590938020
201009,2010-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,114962659.2,3650488508
201010,2010-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,118627457.5,3639966842
201011,2010-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,122322557.2,3746606869
201012,2010-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,123860679,3766691135
201101,2011-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,130578475.5,3757676736
201102,2011-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,133458669.3,3834130214
201103,2011-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,136085124.3,3997823128
201104,2011-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,140742034.5,4061683814
201105,2011-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,144150110.5,4084994809
201106,2011-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,146687393.8,4129355819
201107,2011-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,148005800.7,4163946441
201108,2011-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,151940932.1,4196321025
201109,2011-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,157068047.3,4271862376
201110,2011-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,161416699.7,4281945268
201111,2011-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,165762807.3,4306178120
201112,2011-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,168067239.3,4371178993
201201,2012-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,177238960.4,4405759104
201202,2012-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,181504124.4,4415373287
201203,2012-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,186459512.5,4604479880
201204,2012-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,192008855.3,4674113403
201205,2012-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,196894484.4,4683358935
201206,2012-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,199681545.4,4751804730
201207,2012-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,203011796.6,4759762280
201208,2012-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,205824752.6,4858466861
201209,2012-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,211654194.3,4898396926
201210,2012-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,216156168.4,5019678953
201211,2012-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,220828047.3,5087092523
201212,2012-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,223720480.1,5127714199
201301,2013-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,234863779.4,5212361544
201302,2013-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,239433130.6,5200187701
201303,2013-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,244691370.7,5384448972
201304,2013-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,250143871.8,5379716499
201305,2013-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,254970758.9,5433989669
201306,2013-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,260430142.9,5441339349
201307,2013-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,265137331.1,5474124659
201308,2013-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,269787662.4,5466015898
201309,2013-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,273953983.7,5494018549
201310,2013-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,278598992.4,5501849477
201311,2013-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,283271197.6,5498886800
201312,2013-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,286055126.8,5500108487
201401,2014-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,299179743.5,5493656962
201402,2014-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,303377547,5491151994
201403,2014-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,309344334,5747286505
201404,2014-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,316522303.4,5809467028
201405,2014-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,322109252.2,5842230613
201406,2014-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,326811149.3,5851344306
201407,2014-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,330143944.7,5844654926
201408,2014-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,334526683.3,5844378828
201409,2014-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,339302803,5884428997
201410,2014-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,344250888.1,5895911214
201411,2014-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,350706077.6,5897690975
201412,2014-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,353478680.7,5914440270
201501,2015-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,370808998.4,5935311918
201502,2015-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,375811315.8,5962411980
201503,2015-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,380555256.8,6194902032
201504,2015-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,386839157.4,6218348241
201505,2015-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,391110387.9,6268499594
201506,2015-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,395927167,6259195443
201507,2015-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,399975965.5,6252429851
201508,2015-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,405064784.2,6247922786
201509,2015-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,411923140.1,6273073235
201510,2015-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,418494855,6276023165
201511,2015-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,424726954.7,6403696510
201512,2015-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,424743904.4,6441645032
201601,2016-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,446561368.6,6525412770
201602,2016-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,450405481.9,6677649191
201603,2016-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,455933971.5,6950599698
201604,2016-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,463351682.1,6950959784
201605,2016-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,470137133.8,6987855836
201606,2016-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,476398068,6995066130
201607,2016-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,482795805.5,6993027722
201608,2016-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,487093826.4,6996679443
201609,2016-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,492517114.2,7010084404
201610,2016-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,499352391.8,7018894155
201611,2016-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,505152978.8,6790148530
201612,2016-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,512413402.2,7107606947
201701,2017-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,561471498.9,7193228401
201702,2017-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,568762590.3,7173763167
201703,2017-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,573215083,7418093483
201704,2017-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,581519616.1,7478027474
201705,2017-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,587586784.2,7540290651
201706,2017-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,595057019.8,7635101789
201707,2017-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,602320455.1,7657766541
201708,2017-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,607572023.1,7648258233
201709,2017-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,616878218.4,7623095029
201710,2017-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,626466486.4,7786058788
201711,2017-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,636153151.4,7762984843
201712,2017-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,642051588.1,7772677327
201801,2018-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,711478558.4,7796649209
